Group;Group Name;Group Weight;Question ID;Question;Score;Max Score;Scoring Guidance;Evidence
1;Gobernanza y roles;1;1.1;Los roles y responsabilidades de seguridad de ICS están asignados formalmente.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
1;Gobernanza y roles;1;1.2;La responsabilidad de seguridad de ICS está documentada para cada planta/sitio.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
2;Políticas y estándares;1;2.1;Las políticas de seguridad específicas de ICS están documentadas y aprobadas.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
2;Políticas y estándares;1;2.2;Las políticas se alinean con marcos reconocidos (p. ej., NIST, IEC 62443).;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
3;Evaluación de riesgos;1;3.1;Las evaluaciones de riesgo ICS se realizan al menos anualmente o tras cambios importantes.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
3;Evaluación de riesgos;1;3.2;Los planes de tratamiento de riesgos se siguen con responsables y fechas límite.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
4;Capacitación y concienciación;1;4.1;El personal de ICS recibe formación de seguridad adaptada a riesgos OT.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
4;Capacitación y concienciación;1;4.2;La formación en phishing/ingeniería social incluye escenarios OT.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
5;Respuesta a incidentes;1;5.1;Existe un plan de respuesta a incidentes ICS y se ejercita.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
5;Respuesta a incidentes;1;5.2;La respuesta integra equipos IT y OT con rutas de escalado claras.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
