Group;Group Name;Group Weight;Question ID;Question;Score;Max Score;Scoring Guidance;Evidence
1;Инвентаризация и классификация активов;1;1.1;Все активы АСУТП (оборудование, ПО, прошивки) учтены с владельцами и критичностью.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
1;Инвентаризация и классификация активов;1;1.2;Схемы сетей и потоки данных АСУТП актуальны и пересматриваются не реже раза в год.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
1;Инвентаризация и классификация активов;1;1.3;Инвентаризация связана с записями по конфигурациям и управлению патчами.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
2;Сегментация и зоны (IEC 62443);1;2.1;Зоны и каналы АСУТП определены, границы доверия документированы.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
2;Сегментация и зоны (IEC 62443);1;2.2;Трафик между зонами ограничен только документированными необходимыми потоками.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
2;Сегментация и зоны (IEC 62443);1;2.3;Критические зоны могут безопасно работать при потере связи с другими зонами.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
3;Архитектура DMZ АСУТП;1;3.1;DMZ АСУТП реализована с межсетевыми экранами и строгим управлением правилами.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
3;Архитектура DMZ АСУТП;1;3.2;Прямые соединения между корпоративной сетью и АСУТП исключены, используются DMZ-посредники.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
3;Архитектура DMZ АСУТП;1;3.3;Сервисы DMZ укреплены, мониторятся и не доступны напрямую из Интернета.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
4;Удаленный доступ;1;4.1;Удаленный доступ к АСУТП с MFA и ограничен утвержденными пользователями и окнами доступа.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
4;Удаленный доступ;1;4.2;Удаленный доступ через управляемые jump‑хосты с записью сессий.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
4;Удаленный доступ;1;4.3;Процедуры экстренного удаленного доступа контролируются и журналируются.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
5;Управление учетными записями и доступом;1;5.1;Для операций и инженерии АСУТП используются уникальные учетные записи.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
5;Управление учетными записями и доступом;1;5.2;Привилегированный доступ контролируется по ролям и пересматривается не реже раза в квартал.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
5;Управление учетными записями и доступом;1;5.3;Стандартные/вендорские учетные записи удалены или защищены и мониторятся.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
6;Укрепление конечных устройств;1;6.1;Конечные устройства АСУТП соответствуют базовым профилям безопасности (ОС, сервисы, порты, BIOS/UEFI).;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
6;Укрепление конечных устройств;1;6.2;Неиспользуемые сервисы и порты отключены на контроллерах, HMI и серверах.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
6;Укрепление конечных устройств;1;6.3;Используются secure boot и контроль устройств там, где это поддерживается.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
7;Уязвимости и патч-менеджмент;1;7.1;Выполняется сканирование уязвимостей или пассивный мониторинг с согласованием изменений.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
7;Уязвимости и патч-менеджмент;1;7.2;Патчинг риск-ориентированный, исключения документированы и компенсируются.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
7;Уязвимости и патч-менеджмент;1;7.3;Уведомления вендоров отслеживаются и оцениваются в рамках SLA.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
8;Мониторинг и журналирование;1;8.1;Трафик АСУТП мониторится с IDS/средствами, подходящими для OT.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
8;Мониторинг и журналирование;1;8.2;Журналы безопасности из АСУТП/DMZ централизованы и хранятся по политике.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
8;Мониторинг и журналирование;1;8.3;Правила обнаружения покрывают типовые техники атак на АСУТП.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
9;Резервное копирование и восстановление;1;9.1;Регулярно выполняются бэкапы конфигураций, логики и критических серверов АСУТП.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
