Group;Group Name;Question ID;Question;Score;Max Score;Scoring Guidance;Evidence
1;Governance & roles;1.1;ICS security roles and responsibilities are formally assigned.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
1;Governance & roles;1.2;ICS security ownership is documented for each plant/site.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
2;Policies & standards;2.1;ICS-specific security policies are documented and approved.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
2;Policies & standards;2.2;Policies align with recognized frameworks (e.g., NIST, IEC 62443).;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
3;Risk assessment;3.1;ICS risk assessments are performed at least annually or after major changes.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
3;Risk assessment;3.2;Risk treatment plans are tracked with owners and due dates.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
4;Training & awareness;4.1;ICS personnel receive security training tailored to OT risks.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
4;Training & awareness;4.2;Phishing/social engineering training includes OT-specific scenarios.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
5;Incident response;5.1;An ICS incident response plan exists and is exercised.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
5;Incident response;5.2;IR integrates IT and OT teams with clear escalation paths.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
6;Business continuity & recovery;6.1;ICS recovery time objectives and recovery procedures are defined.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
6;Business continuity & recovery;6.2;BC/DR exercises include OT and production stakeholders.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
7;Change management;7.1;Changes to ICS networks, logic, and configurations are formally approved.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
7;Change management;7.2;Emergency changes are tracked and reviewed post-implementation.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
8;Third-party & vendor management;8.1;Vendor access is controlled, time-bound, and reviewed.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
8;Third-party & vendor management;8.2;Contracts require security requirements and incident notification.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
9;Asset lifecycle management;9.1;Security requirements are defined for procurement of ICS assets.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
9;Asset lifecycle management;9.2;End-of-life assets are identified with mitigation or replacement plans.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
10;Audit & compliance;10.1;ICS security controls are periodically audited or assessed.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
10;Audit & compliance;10.2;Findings are tracked to closure with management reporting.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
11;Metrics & continuous improvement;11.1;Key ICS security metrics are defined and reported to leadership.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
11;Metrics & continuous improvement;11.2;Lessons learned are incorporated into policies and procedures.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
12;Data governance & classification;12.1;ICS data is classified and handled according to data governance rules.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
12;Data governance & classification;12.2;Data exchange with external parties is approved and monitored.;;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
