Group;Group Name;Group Weight;Question ID;Question;Score;Max Score;Scoring Guidance;Evidence
1;Inventario y clasificación de activos;1;1.1;Todos los activos ICS (hardware, software, firmware) están inventariados con responsables y criticidad.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
1;Inventario y clasificación de activos;1;1.2;Los diagramas de red y flujos de datos ICS están actualizados y se revisan al menos anualmente.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
1;Inventario y clasificación de activos;1;1.3;El inventario de activos está integrado con los registros de configuración y gestión de parches.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
2;Segmentación y zonificación (IEC 62443);1;2.1;Las zonas y conductos ICS están definidos con límites de confianza documentados.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
2;Segmentación y zonificación (IEC 62443);1;2.2;El tráfico entre zonas se limita solo a flujos necesarios y documentados.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
2;Segmentación y zonificación (IEC 62443);1;2.3;Las zonas críticas pueden operar de forma segura si se interrumpe la conexión con otras zonas.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
3;Arquitectura DMZ de ICS;1;3.1;La DMZ ICS está implementada con firewall(s) y gestión estricta de reglas.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
3;Arquitectura DMZ de ICS;1;3.2;Se eliminan las comunicaciones directas entre la red corporativa e ICS usando sistemas intermedios en DMZ.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
3;Arquitectura DMZ de ICS;1;3.3;Los servicios en DMZ están endurecidos, monitoreados y no expuestos directamente a Internet.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
4;Acceso remoto;1;4.1;El acceso remoto a ICS usa MFA y está limitado a usuarios aprobados y ventanas de tiempo.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
