Group;Group Name;Group Weight;Question ID;Question;Score;Max Score;Scoring Guidance;Evidence
1;治理与角色;1;1.1;ICS 安全角色与职责已正式分配。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
1;治理与角色;1;1.2;每个工厂/站点的 ICS 安全责任已记录。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
2;政策与标准;1;2.1;ICS 专项安全政策已记录并批准。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
2;政策与标准;1;2.2;政策与公认框架一致（如 NIST、IEC 62443）。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
3;风险评估;1;3.1;ICS 风险评估至少每年进行一次或在重大变更后进行。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
3;风险评估;1;3.2;风险处置计划有负责人和截止日期并跟踪。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
4;培训与意识;1;4.1;ICS 人员接受针对 OT 风险的安全培训。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
4;培训与意识;1;4.2;钓鱼/社工培训包含 OT 场景。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
5;事件响应;1;5.1;存在 ICS 事件响应计划并进行演练。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
5;事件响应;1;5.2;响应流程整合 IT 与 OT 并有清晰升级路径。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
6;业务连续性与恢复;1;6.1;定义了 ICS 的恢复时间目标和恢复流程。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
6;业务连续性与恢复;1;6.2;BC/DR 演练包含 OT 和生产相关方。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
7;变更管理;1;7.1;ICS 网络、逻辑和配置变更需正式批准。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
7;变更管理;1;7.2;紧急变更被记录并在实施后复审。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
8;第三方与供应商管理;1;8.1;供应商访问受控、限时并定期复审。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
8;第三方与供应商管理;1;8.2;合同包含安全要求和事件通报条款。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
9;资产生命周期管理;1;9.1;采购 ICS 资产有明确的安全要求。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
9;资产生命周期管理;1;9.2;已识别 EOL 资产并制定替换或缓解计划。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
10;审计与合规;1;10.1;ICS 安全控制定期审计或评估。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
10;审计与合规;1;10.2;问题跟踪至关闭并向管理层报告。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
11;指标与持续改进;1;11.1;关键 ICS 安全指标已定义并向管理层报告。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
11;指标与持续改进;1;11.2;经验教训被纳入政策和流程。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
12;数据治理与分类;1;12.1;ICS 数据按数据治理规则分类与处理。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
12;数据治理与分类;1;12.2;与外部方的数据交换需批准并监控。;;3;"0=未实施;1=部分实施;2=已实施但不稳定;3=已实施并有文档且监控";政策、配置、日志、工单或审计证据。
