Group;Group Name;Question ID;Question;Score;Max Score;Scoring Guidance;Evidence
1;Asset inventory & classification;1.1;All ICS assets (hardware, software, firmware) are inventoried with owners and criticality.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
1;Asset inventory & classification;1.2;Network diagrams and data flows for ICS are current and reviewed at least annually.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
1;Asset inventory & classification;1.3;Asset inventory is integrated with configuration and patch management records.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
2;Segmentation & zoning (IEC 62443);2.1;ICS zones and conduits are defined with documented trust boundaries.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
2;Segmentation & zoning (IEC 62443);2.2;Traffic between zones is restricted to documented, required flows only.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
2;Segmentation & zoning (IEC 62443);2.3;Critical zones can operate safely when connections to other zones are disrupted.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
3;ICS DMZ architecture;3.1;ICS DMZ is implemented with firewall(s) and strict ruleset management.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
3;ICS DMZ architecture;3.2;Direct communications between enterprise and ICS are eliminated in favor of DMZ jump/intermediate systems.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
3;ICS DMZ architecture;3.3;DMZ services are hardened, monitored, and not exposed directly to the Internet.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
4;Remote access;4.1;Remote access to ICS uses MFA and is limited to approved users and time windows.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
4;Remote access;4.2;Remote access is brokered through managed jump hosts with session recording.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
4;Remote access;4.3;Emergency remote access procedures are controlled and logged.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
5;Identity & access management;5.1;Unique user accounts are enforced for ICS operations and engineering.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
5;Identity & access management;5.2;Privileged access is controlled by role and reviewed at least quarterly.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
5;Identity & access management;5.3;Default/vendor accounts are removed or secured and monitored.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
6;Endpoint hardening;6.1;ICS endpoints follow secure configuration baselines (OS, services, ports, BIOS/UEFI).;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
6;Endpoint hardening;6.2;Unused services and ports are disabled on controllers, HMIs, and servers.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
6;Endpoint hardening;6.3;Secure boot and device control are used where supported.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
