Group;Group Name;Group Weight;Question ID;Question;Score;Max Score;Scoring Guidance;Evidence
1;Управление и роли;1;1.1;Роли и ответственность по ИБ АСУТП формально назначены.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
1;Управление и роли;1;1.2;Назначены владельцы ИБ АСУТП для каждого объекта/площадки.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
2;Политики и стандарты;1;2.1;Политики ИБ для АСУТП документированы и утверждены.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
2;Политики и стандарты;1;2.2;Политики согласованы с признанными стандартами (NIST, IEC 62443).;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
3;Оценка рисков;1;3.1;Оценка рисков АСУТП проводится не реже раза в год или после существенных изменений.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
3;Оценка рисков;1;3.2;Планы обработки рисков ведутся с ответственными и сроками.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
4;Обучение и осведомленность;1;4.1;Персонал АСУТП проходит обучение ИБ с учетом OT-рисков.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
4;Обучение и осведомленность;1;4.2;Обучение фишингу/социнженерии включает OT-сценарии.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
5;Реагирование на инциденты;1;5.1;План реагирования на инциденты АСУТП существует и отрабатывается.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
5;Реагирование на инциденты;1;5.2;IR объединяет IT и OT с понятными путями эскалации.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
6;Непрерывность и восстановление;1;6.1;Определены RTO и процедуры восстановления АСУТП.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
6;Непрерывность и восстановление;1;6.2;Учения BC/DR включают OT и производственных участников.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
7;Управление изменениями;1;7.1;Изменения сетей, логики и конфигураций АСУТП формально согласуются.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
7;Управление изменениями;1;7.2;Экстренные изменения фиксируются и анализируются постфактум.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
8;Управление подрядчиками и вендорами;1;8.1;Доступ вендоров контролируется, ограничен по времени и пересматривается.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
8;Управление подрядчиками и вендорами;1;8.2;Договоры содержат требования по ИБ и уведомлению об инцидентах.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
9;Управление жизненным циклом активов;1;9.1;Требования по ИБ определены для закупки активов АСУТП.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
9;Управление жизненным циклом активов;1;9.2;Активы EOL выявлены, есть планы замены или компенсации рисков.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
10;Аудит и соответствие;1;10.1;Контроли ИБ АСУТП периодически проверяются/аудируются.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
10;Аудит и соответствие;1;10.2;Замечания отслеживаются до закрытия и докладываются руководству.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
11;Метрики и непрерывное улучшение;1;11.1;Ключевые метрики ИБ АСУТП определены и докладываются руководству.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
11;Метрики и непрерывное улучшение;1;11.2;Уроки из инцидентов/аудитов встраиваются в политики и процедуры.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
